Co2 排放量,人口总数集,GDP,记录数,互联网使用率,人口 0-14,人口 15-64,人口 65+,人口总数,人均医疗费用,入境旅游,出境旅游,出生率,办税小时数,区域,医疗费用 % Gdp,国家/地区,城市人口,女性预期寿命,年份,开业天数,手机使用率,新生儿死亡率,男性预期寿命,经商便利度,能源使用,营业税税率,贷款利率
87260,1,,1,.01,.424,.541,.035,,9,,,.035,,中东,.01,伊拉克,.686,73,2002/12/1,,0,.035,68,,27981,,
63146,1,,1,.18,.28,.62,.1,,1334,,,.021,,中东,.08,以色列,.913,82,2002/12/1,,1.01,.005,78,,18809,,.099
16887,1,,1,.06,.39,.579,.031,,189,,,.031,,中东,.1,约旦,.804,74,2002/12/1,,.25,.022,71,,5060,,.102
52753,1,,1,.1,.256,.71,.034,,661,,,.022,,中东,.04,科威特,.981,74,2002/12/1,,.6,.011,73,,20639,,.065
16039,.999,,1,.07,.284,.643,.072,,546,,,.017,,中东,.1,黎巴嫩,.862,77,2002/12/1,,.22,.015,74,,5220,,.166
25471,.999,,1,.07,.366,.609,.024,,278,,,.023,,中东,.03,阿曼,.715,75,2002/12/1,,.2,.013,71,,8818,,.085
28482,1,,1,.1,.268,.716,.016,,833,,,.018,,中东,.03,卡塔尔,.967,78,2002/12/1,,.42,.01,76,,13711,,
326407,1,,1,.06,.368,.598,.034,,375,,,.025,,中东,.04,沙特阿拉伯,.803,75,2002/12/1,,.23,.018,71,,116953,,
39068,1.001,,1,.02,.4,.567,.034,,57,,,.029,,中东,.05,叙利亚,.527,76,2002/12/1,,.02,.018,72,,16735,,.09
84704,.999,,1,.28,.243,.746,.01,,917,,,.016,,中东,.03,阿拉伯联合酋长国,.811,76,2002/12/1,,.75,.009,74,,40578,,
15764,1.001,,1,.01,.476,.497,.028,,27,,,.038,,中东,.04,也门,.273,62,2002/12/1,,.03,.064,60,,5100,,.177
,,,1,,,,,,,,,,,大洋洲,,美属萨摩亚,.884,,2002/12/1,,.04,,,,,,
341002,1,,1,,.204,.67,.126,,1847,,,.013,,大洋洲,.08,澳大利亚,.875,83,2002/12/1,,.64,.005,77,,109461,,.082
836,1,,1,.06,.334,.629,.037,,79,,,.024,,大洋洲,.04,斐济,.487,71,2002/12/1,,.11,.02,65,,,,.081
737,1,,1,.08,.303,.652,.045,,,,,.019,,大洋洲,,法属波利尼西亚,.559,76,2002/12/1,,.21,,70,,,,
,1.001,,1,.31,.302,.641,.058,,,,,.021,,大洋洲,,关岛,.933,78,2002/12/1,,.45,,73,,,,
40,1,,1,.03,.389,.576,.035,,76,,,.027,,大洋洲,.09,基里巴斯,.435,68,2002/12/1,,.01,.052,63,,,,
84,,,1,.02,,,,,418,,,,,大洋洲,.18,马绍尔群岛,.69,,2002/12/1,,.01,.033,,,,,
147,1,,1,.06,.395,.566,.039,,178,,,.028,,大洋洲,.08,密克罗尼西亚联邦,.223,68,2002/12/1,,0,.04,67,,,,.153
2428,1,,1,.22,.281,.657,.062,,,,,.019,,大洋洲,,新喀里多尼亚,.626,79,2002/12/1,,.37,,71,,,,
33201,1,,1,.59,.223,.659,.118,,1244,,,.014,,大洋洲,.08,新西兰,.859,81,2002/12/1,,.62,.006,77,,17119,,.072
3513,1,,1,.01,.402,.573,.025,,24,,,.034,,大洋洲,.05,巴布亚新几内亚,.132,62,2002/12/1,,0,.057,57,,,,.139
143,1,,1,.02,.404,.55,.046,,83,,,.03,,大洋洲,.06,萨摩亚,.219,73,2002/12/1,,.02,.018,67,,,,.114
172,1,,1,.01,.416,.555,.029,,48,,,.035,,大洋洲,.06,所罗门群岛,.166,66,2002/12/1,,0,.029,63,,,,.146
147,1,,1,.03,.382,.559,.059,,92,,,.029,,大洋洲,.05,汤加,.231,73,2002/12/1,,.03,.015,69,,,,.114
84,1.001,,1,.04,.408,.56,.033,,52,,,.031,,大洋洲,.04,瓦努阿图,.222,70,2002/12/1,,.03,.019,67,,,,.074
363,1,,1,.13,.29,.64,.07,,433,,,.02,,美洲,.04,安提瓜和巴布达,.311,76,2002/12/1,,.48,.012,71,,,,.114
123266,1,,1,.11,.273,.626,.101,,225,,,.018,,美洲,.08,阿根廷,.895,78,2002/12/1,,.18,.017,71,,55386,,.517
2255,.999,,1,.19,.225,.695,.079,,,,,.013,,美洲,,阿鲁巴,.46,76,2002/12/1,,.65,,71,,,,.131
1577,1,,1,.18,.279,.664,.057,,1183,,,.016,,美洲,.05,巴哈马,.821,76,2002/12/1,,.39,.013,70,,,,.06
1228,1,,1,.28,.214,.672,.114,,677,,,.013,,美洲,.07,巴巴多斯,.335,76,2002/12/1,,.36,.015,71,,,,.085
359,1,,1,.06,.393,.565,.042,,162,,,.028,,美洲,.04,伯利兹,.471,75,2002/12/1,,.21,.02,68,,,,.148
524,,,1,.52,,,,,,,,.013,,美洲,,百慕大,1,81,2002/12/1,,.47,,76,,,,
9567,1,,1,.03,.393,.564,.043,,58,,,.03,,美洲,.07,玻利维亚,.628,66,2002/12/1,,.12,.052,62,,3527,,.206
332267,.999,,1,.09,.287,.655,.057,,203,,,.02,,美洲,.07,巴西,.819,75,2002/12/1,,.19,.025,67,,195759,,.629
519163,1.001,,1,.62,.186,.687,.128,,2254,,,.011,,美洲,.1,加拿大,.799,82,2002/12/1,,.38,.005,77,,248220,,.042
469,,,1,,,,,,,,,,,美洲,,开曼群岛,1,,2002/12/1,,.43,,,,,,
55361,1,,1,.22,.267,.658,.075,,331,,,.016,,美洲,.08,智利,.866,81,2002/12/1,,.4,.008,75,,25568,,.078
55661,1,,1,.05,.32,.631,.049,,135,,,.022,,美洲,.06,哥伦比亚,.727,75,2002/12/1,,.11,.02,68,,25205,,.163
6326,1,,1,.2,.3,.644,.056,,332,,,.019,,美洲,.08,哥斯达黎加,.618,80,2002/12/1,,.12,.01,76,,3073,,.264
26091,1.001,,1,.04,.209,.689,.103,,195,,,.012,,美洲,.07,古巴,.758,79,2002/12/1,,0,.006,75,,11729,,
,1,,1,,.234,.656,.11,,,,,,,美洲,,库拉索,.909,,2002/12/1,,,,,,,,
103,,,1,.18,,,,,237,,,.015,,美洲,.05,多米尼克,.657,79,2002/12/1,,.17,.013,75,,,,.11
21500,1,,1,.07,.342,.604,.054,,176,,,.024,,美洲,.06,多米尼加共和国,.634,74,2002/12/1,,.19,.032,68,,7476,,.261
24690,1,,1,.04,.338,.609,.053,,105,,,.025,,美洲,.05,厄瓜多尔,.611,77,2002/12/1,,.12,.026,71,,9177,,.158
6040,1,,1,.02,.374,.568,.058,,184,,,.023,,美洲,.08,萨尔瓦多,.6,75,2002/12/1,,.15,.024,65,,4232,,
539,,,1,.44,,,,,,,,.017,,美洲,,格陵兰,.821,71,2002/12/1,,.35,,65,,,,
205,.999,,1,.15,.33,.592,.077,,353,,,.019,,美洲,.07,格林纳达,.361,73,2002/12/1,,.07,.013,68,,,,.113
11096,1.001,,1,.03,.438,.521,.042,,110,,,.036,,美洲,.06,危地马拉,.459,72,2002/12/1,,.13,.037,65,,7248,,.169
1580,1,,1,,.358,.6,.042,,56,,,.022,,美洲,.06,圭亚那,.285,67,2002/12/1,,.11,.037,60,,,,.163
1826,1,,1,.01,.394,.566,.04,,20,,,.03,,美洲,.06,海地,.389,60,2002/12/1,,.02,.071,56,,2309,,.342
6091,.999,,1,.03,.414,.545,.04,,88,,,.03,,美洲,.07,洪都拉斯,.466,73,2002/12/1,,.05,.029,69,,3380,,.227
10301,1.001,,1,.06,.321,.604,.076,,180,,,.018,,美洲,.05,牙买加,.523,74,2002/12/1,,.47,.019,68,,3586,,.185
391251,1,,1,.12,.334,.615,.051,,396,,,.023,,美洲,.06,墨西哥,.754,77,2002/12/1,,.24,.019,72,,150843,,.082
4037,1.001,,1,.02,.397,.565,.039,,57,,,.027,,美洲,.06,尼加拉瓜,.552,74,2002/12/1,,.05,.03,68,,2636,,.183
5871,1,,1,.09,.316,.627,.057,,310,,,.023,,美洲,.08,巴拿马,.628,78,2002/12/1,,.17,.021,73,,2625,,.106
3898,.999,,1,.02,.372,.582,.045,,79,,,.027,,美洲,.07,巴拉圭,.566,73,2002/12/1,,.3,.026,69,,3885,,.387
27187,1.001,,1,.09,.333,.617,.051,,102,,,.023,,美洲,.05,秘鲁,.739,74,2002/12/1,,.09,.026,69,,11873,,.208
,1,,1,.18,.23,.653,.117,,,,,.014,,美洲,,波多黎各,.943,82,2002/12/1,,.43,,74,,,,
,,,1,,,,,,,,,,,美洲,,圣马丁（荷属）,1,,2002/12/1,,,,,,,,
198,,,1,.21,,,,,374,,,.017,,美洲,.04,圣基茨和尼维斯,.324,74,2002/12/1,,.11,.012,69,,,,.109
326,1,,1,.15,.308,.619,.073,,289,,,.018,,美洲,.06,圣卢西亚,.263,74,2002/12/1,,.09,.015,70,,,,.126
,,,1,,,,,,,,,.017,,美洲,,圣马丁（法属）,,81,2002/12/1,,,,74,,,,
187,1,,1,.06,.302,.627,.071,,168,,,.019,,美洲,.04,圣文森特和格林纳丁斯,.459,73,2002/12/1,,.09,.019,68,,,,.116
2252,1.001,,1,.04,.303,.639,.059,,161,,,.022,,美洲,.07,苏里南,.666,72,2002/12/1,,.23,.029,65,,,,.222
26890,1,,1,.22,.238,.694,.068,,352,,,.015,,美洲,.05,特立尼达和多巴哥,.104,73,2002/12/1,,.21,.025,65,,12540,,.125
99,,,1,,,,,,,,,,,美洲,,特克斯和凯科斯群岛,.86,,2002/12/1,,,,,,,,
5650950,1,,1,.59,.21,.667,.123,,5578,,,.014,,美洲,.15,美国,.794,80,2002/12/1,,.49,.007,74,,2255957,,.047
4620,1,,1,.11,.243,.624,.133,,449,,,.016,,美洲,.11,乌拉圭,.926,79,2002/12/1,,.15,.014,71,,2538,,1.184
193262,.999,,1,.05,.327,.625,.047,,207,,,.023,,美洲,.06,委内瑞拉,.884,76,2002/12/1,,.26,.017,70,,57515,,.366
,1.001,,1,.28,.246,.662,.093,,,,,.015,,美洲,,维尔京群岛（美属）,.93,81,2002/12/1,,.42,,75,,,,
92533,1,,1,.02,.307,.651,.042,,74,,,.02,,非洲,.04,阿尔及利亚,.623,71,2003/12/1,25,.04,.031,68,,30698,,.081
9065,1,,1,0,.477,.498,.025,,45,,,.05,,非洲,.05,安哥拉,.346,49,2003/12/1,119,.02,.125,46,,9004,,.961
2321,.999,,1,.01,.449,.522,.028,,21,,,.041,,非洲,.05,贝宁,.393,58,2003/12/1,32,.03,.082,55,,2386,,
4265,1,,1,.03,.367,.602,.031,,190,,,.026,,非洲,.04,博茨瓦纳,.546,48,2003/12/1,107,.24,.051,47,,1907,,.164
1078,1,,1,0,.466,.508,.026,,19,,,.045,,非洲,.06,布基纳法索,.2,53,2003/12/1,40,.02,.091,51,,,,
165,1,,1,0,.468,.504,.028,,6,,,.043,,非洲,.07,布隆迪,.089,50,2003/12/1,13,.01,.082,48,,,,.182
3795,1,,1,.01,.447,.52,.033,,39,,,.041,,非洲,.05,喀麦隆,.473,53,2003/12/1,45,.06,.084,51,,6766,,.18
235,1,,1,0,.421,.539,.04,,13,,,.038,,非洲,.04,中非共和国,.379,46,2003/12/1,22,.01,.112,43,,,,.18
381,1,,1,0,.492,.481,.027,,17,,,.05,,非洲,.06,乍得,.217,48,2003/12/1,64,.01,.103,46,,,,.18
99,1,,1,.01,.414,.556,.03,,21,,,.039,,非洲,.04,科摩罗,.279,60,2003/12/1,,0,.072,57,,,,.118
1698,1,,1,0,.464,.508,.028,,6,,,.047,,非洲,.05,刚果（金）,.365,49,2003/12/1,166,.02,.111,46,,18503,,
1085,1.001,,1,.01,.421,.544,.036,,27,,,.039,,非洲,.03,刚果（布）,.601,54,2003/12/1,37,.1,.07,52,,999,,.18
5460,.999,,1,.01,.422,.548,.029,,42,,,.037,,非洲,.05,科特迪瓦,.455,47,2003/12/1,62,.08,.094,46,,6578,,
407,1,,1,.01,.39,.578,.032,,50,,,.029,,非洲,.06,吉布提,.767,59,2003/12/1,,.03,.075,56,,,,.113
147963,.999,,1,.04,.335,.61,.054,,56,,,.024,,非洲,.06,埃及,.429,72,2003/12/1,37,.08,.029,67,,48971,,.135
6018,1,,1,.01,.415,.551,.034,,101,,,.038,,非洲,.02,赤道几内亚,.388,49,2003/12/1,,.07,.092,47,,,,.18
726,1,,1,,.446,.535,.019,,6,,,.04,,非洲,.03,厄立特里亚,.183,60,2003/12/1,,,.051,55,,804,,
4947,1,,1,0,.465,.504,.031,,6,,,.041,,非洲,.05,埃塞俄比亚,.153,55,2003/12/1,46,0,.079,54,,27648,,.07
1335,.999,,1,.03,.399,.543,.057,,174,,,.033,,非洲,.04,加蓬,.822,61,2003/12/1,,.23,.053,58,,1593,,.18
315,1,,1,.02,.459,.515,.026,,15,,,.045,,非洲,.04,冈比亚,.506,57,2003/12/1,,.11,.059,55,,,,.293
7631,1,,1,.01,.407,.561,.032,,18,,,.034,,非洲,.05,加纳,.46,59,2003/12/1,22,.04,.06,57,,8226,,
1342,1,,1,.01,.438,.529,.033,,18,,,.041,,非洲,.05,几内亚,.321,52,2003/12/1,40,.01,.092,52,,,,
194,1,,1,.01,.431,.539,.03,,20,,,.041,,非洲,.06,几内亚比绍,.392,53,2003/12/1,,0,.101,51,,,,
6755,1.001,,1,.03,.432,.541,.028,,20,,,.039,,非洲,.04,肯尼亚,.209,54,2003/12/1,60,.05,.065,52,,14769,,.166
,1,,1,.02,.404,.55,.046,,36,,,.03,,非洲,.07,莱索托,.211,44,2003/12/1,93,.07,.083,44,,,,.16
532,.999,,1,0,.432,.537,.03,,5,,,.041,,非洲,.03,利比里亚,.454,54,2003/12/1,,.02,.097,53,,,,.171
49167,1,,1,.03,.315,.644,.041,,194,,,.023,,非洲,.04,利比亚,.767,75,2003/12/1,,.02,.022,71,,17441,,.07
1701,.999,,1,0,.452,.518,.029,,15,,,.039,,非洲,.05,马达加斯加,.279,62,2003/12/1,67,.02,.061,59,,,,.243
957,1,,1,0,.461,.509,.03,,13,,,.043,,非洲,.06,马拉维,.149,47,2003/12/1,45,.01,.084,47,,,,.489
539,1,,1,0,.462,.506,.032,,24,,,.048,,非洲,.06,马里,.305,50,2003/12/1,41,.02,.105,51,,,,
1474,1,,1,0,.42,.548,.032,,23,,,.037,,非洲,.05,毛里塔尼亚,.516,62,2003/12/1,82,.12,.076,59,,,,.21
3146,1,,1,.12,.249,.687,.064,,188,,,.016,,非洲,.04,毛里求斯,.42,76,2003/12/1,,.38,.014,69,,,,.21
37561,1,,1,.03,.32,.631,.049,,88,,,.021,,非洲,.05,摩洛哥,.543,70,2003/12/1,36,.25,.038,67,,11018,,.126
1918,1.001,,1,0,.444,.525,.032,,15,,,.045,,非洲,.06,莫桑比克,.296,49,2003/12/1,153,.02,.099,46,,8063,,.247
1874,.999,,1,.03,.401,.565,.033,,162,,,.03,,非洲,.07,纳米比亚,.347,56,2003/12/1,85,.11,.049,52,,1076,,.147
880,1,,1,0,.486,.489,.025,,15,,,.052,,非洲,.07,尼日尔,.165,53,2003/12/1,35,.01,.09,53,,,,
93138,1.001,,1,.01,.435,.538,.028,,39,,,.043,,非洲,.08,尼日利亚,.374,48,2003/12/1,36,.02,.103,47,,99007,,.207
682,1,,1,0,.452,.521,.027,,13,,,.039,,非洲,.06,卢旺达,.176,53,2003/12/1,18,.01,.083,51,,,,.171
66,1,,1,.1,.426,.534,.04,,78,,,.037,,非洲,.12,圣多美和普林西比,.563,66,2003/12/1,,.03,.052,62,,,,.296
5013,1.001,,1,.02,.445,.524,.032,,35,,,.039,,非洲,.05,塞内加尔,.408,61,2003/12/1,59,.07,.062,58,,2556,,
557,1,,1,.15,.258,.664,.078,,403,,,.018,,非洲,.05,塞舌尔群岛,.506,76,2003/12/1,,.59,.012,66,,,,.106
653,1,,1,0,.428,.548,.024,,45,,,.043,,非洲,.16,塞拉利昂,.364,41,2003/12/1,26,.02,.133,40,,,,.2
576,1,,1,0,.476,.495,.029,,,,,.047,,非洲,,索马里,.344,53,2003/12/1,,.03,.105,50,,,,
380811,1,,1,.07,.316,.645,.039,,310,,,.023,,非洲,.09,南非,.584,54,2003/12/1,38,.36,.053,51,,117374,,.15
,1,,1,,.444,.525,.031,,,,,.041,,非洲,,南苏丹,.169,51,2003/12/1,,,.095,49,,,,
9072,1,,1,.01,.435,.535,.03,,23,,,.039,,非洲,.04,苏丹,.327,61,2003/12/1,,.01,.064,57,,14725,,
1041,1,,1,.02,.43,.539,.031,,98,,,.032,,非洲,.06,斯威士兰,.223,46,2003/12/1,,.08,.082,46,,,,.146
3806,1,,1,.01,.446,.524,.03,,12,,,.042,,非洲,.04,坦桑尼亚,.236,53,2003/12/1,28,.04,.066,51,,15491,,.145
1463,1,,1,.01,.433,.539,.028,,18,,,.039,,非洲,.06,多哥,.343,55,2003/12/1,65,.05,.072,53,,2303,,
21397,1,,1,.07,.272,.663,.065,,151,,,.017,,非洲,.05,突尼斯,.646,75,2003/12/1,11,.2,.022,71,,8028,,
1709,1.001,,1,.01,.494,.481,.026,,18,,,.047,,非洲,.08,乌干达,.125,51,2003/12/1,34,.03,.077,51,,,,.189
2101,1,,1,.01,.464,.509,.027,,27,,,.045,,非洲,.07,赞比亚,.358,45,2003/12/1,35,.02,.086,44,,6828,,.406
10627,1,,1,.06,.416,.549,.035,,,,,.032,,非洲,,津巴布韦,.345,42,2003/12/1,97,.03,.058,43,,9500,,.973
583,.999,,1,0,.494,.485,.02,,18,,,.047,,亚洲,.1,阿富汗,.222,57,2003/12/1,,.01,.088,55,,,,
3429,1,,1,.05,.233,.655,.112,,51,,,.014,,亚洲,.06,亚美尼亚,.643,76,2003/12/1,18,.04,.023,69,,1981,,.208
30616,1,,1,,.28,.658,.062,,57,,,.014,,亚洲,.07,阿塞拜疆,.52,71,2003/12/1,105,.13,.05,65,,12158,,.155
33883,1.001,,1,0,.354,.605,.042,,11,,,.025,,亚洲,.03,孟加拉国,.254,67,2003/12/1,50,.01,.056,66,,21713,,.16
378,1,,1,.02,.365,.595,.04,,51,,,.025,,亚洲,.05,不丹,.287,63,2003/12/1,62,0,.051,62,,,,.15
5357,1,,1,.2,.295,.675,.03,,575,,,.021,,亚洲,.03,文莱,.726,79,2003/12/1,,.5,.008,75,,2505,,.055
2380,1,,1,0,.379,.58,.041,,26,,,.026,,亚洲,.07,柬埔寨,.189,68,2003/12/1,94,.04,.063,62,,4115,,
4525177,1.001,,1,.06,.225,.702,.074,,61,,,.012,,亚洲,.05,中国,.398,75,2003/12/1,48,.21,.024,72,,1427554,,.053
3773,1,,1,.03,.197,.664,.139,,74,,,.012,,亚洲,.09,格鲁吉亚,.524,76,2003/12/1,25,.16,.026,69,,2705,,.238
40066,1,,1,.52,.155,.728,.117,,,,,.007,,亚洲,,中国香港特别行政区,1,84,2003/12/1,11,1.06,,79,,13608,,.05
1281914,1,,1,.02,.33,.624,.046,,24,,,.024,,亚洲,.04,印度,.286,65,2003/12/1,89,.03,.06,62,,489507,,.115
316792,1,,1,.02,.301,.651,.048,,27,,,.021,,亚洲,.03,印度尼西亚,.444,70,2003/12/1,168,.09,.036,66,,165366,,.169
1237429,1.001,,1,.48,.141,.672,.188,,2693,,,.009,,亚洲,.08,日本,.832,85,2003/12/1,31,.69,.003,78,,506237,,.018
153816,1.001,,1,.02,.257,.67,.074,,77,,,.017,,亚洲,.04,哈萨克斯坦,.551,72,2003/12/1,26,.09,.032,61,,43041,,
77777,1,,1,,.253,.679,.068,,,,,.016,,亚洲,,朝鲜,.596,71,2003/12/1,,,.03,64,,20027,,
466215,1,,1,.66,.199,.716,.085,,695,,,.01,,亚洲,.05,韩国,.807,81,2003/12/1,17,.72,.005,74,,202717,,.062
5328,1,,1,.04,.326,.617,.057,,21,,,.021,,亚洲,.05,吉尔吉斯斯坦,.353,72,2003/12/1,21,.03,.037,65,,2584,,.191
1129,1,,1,0,.418,.545,.037,,18,,,.029,,亚洲,.05,老挝,.251,65,2003/12/1,153,.02,.075,62,,,,.305
1536,1.001,,1,.26,.197,.73,.074,,,,,.008,,亚洲,,中国澳门特别行政区,1,81,2003/12/1,,.81,,76,,,,.06
160266,1.001,,1,.35,.315,.644,.042,,172,,,.02,,亚洲,.04,马来西亚,.648,76,2003/12/1,37,.45,.007,71,,54619,,.063
598,1,,1,.06,.37,.587,.043,,199,,,.022,,亚洲,.06,马尔代夫,.313,74,2003/12/1,13,.23,.025,71,,,,.14
8034,1,,1,,.311,.652,.037,,48,,,.019,,亚洲,.07,蒙古,.604,68,2003/12/1,20,.13,.042,61,,2525,,.319
9846,.999,,1,0,.29,.661,.048,,4,,,.02,,亚洲,.02,缅甸,.281,65,2003/12/1,,0,.054,61,,14064,,.15
2952,.999,,1,0,.399,.559,.041,,14,,,.03,,亚洲,.05,尼泊尔,.146,65,2003/12/1,31,0,.052,63,,8707,,.074
118895,.999,,1,.05,.395,.564,.04,,16,,,.029,,亚洲,.03,巴基斯坦,.341,65,2003/12/1,24,.02,.083,64,,68695,,
71532,1,,1,.05,.377,.59,.033,,33,,,.028,,亚洲,.03,菲律宾,.471,71,2003/12/1,49,.27,.029,64,,38822,,.095
31133,1,,1,.54,.201,.72,.079,,823,,,.011,,亚洲,.04,新加坡,1,82,2003/12/1,8,.84,.003,77,,25634,,.053
10660,1,,1,.02,.258,.675,.067,,38,,,.019,,亚洲,.04,斯里兰卡,.184,77,2003/12/1,58,.07,.013,70,,8682,,.103
2076,1,,1,0,.402,.561,.037,,11,,,.029,,亚洲,.05,塔吉克斯坦,.264,69,2003/12/1,,.01,.061,61,,2170,,.167
232198,1,,1,.09,.231,.696,.073,,79,,,.013,,亚洲,.04,泰国,.35,75,2003/12/1,33,.34,.017,68,,89107,,.059
161,1,,1,,.491,.483,.026,,24,,,.039,,亚洲,.08,东帝汶,.253,63,2003/12/1,,.02,.072,60,,,,.167
42215,1,,1,0,.342,.613,.045,,95,,,.023,,亚洲,.04,土库曼斯坦,.466,68,2003/12/1,,0,.062,60,,17629,,
122683,1,,1,.02,.349,.605,.046,,20,,,.02,,亚洲,.05,乌兹别克斯坦,.37,71,2003/12/1,29,.01,.049,64,,51412,,
78767,1,,1,.04,.289,.646,.065,,25,,,.017,,亚洲,.05,越南,.261,79,2003/12/1,59,.03,.025,70,,35111,,.095
4294,1,,1,.01,.282,.64,.078,,108,,,.016,,欧洲,.06,阿尔巴尼亚,.446,79,2003/12/1,41,.34,.02,72,,1976,,.143
535,,,1,.14,,,,,1891,,,.01,,欧洲,.06,安道尔,.912,,2003/12/1,,.69,.003,,,,,
72317,1,,1,.43,.165,.678,.157,,3223,,,.01,,欧洲,.1,奥地利,.658,82,2003/12/1,25,.89,.004,76,,32214,,
53722,1,,1,,.166,.691,.143,,120,,,.009,,欧洲,.07,白俄罗斯,.714,75,2003/12/1,79,.11,.009,63,,26009,,.24
114836,1,,1,.5,.173,.655,.172,,3000,,,.011,,欧洲,.1,比利时,.973,81,2003/12/1,56,.83,.004,75,,59242,,.069
23238,1,,1,.04,.194,.684,.122,,174,,,.009,,欧洲,.08,波斯尼亚和黑塞哥维那,.392,78,2003/12/1,68,.28,.007,73,,4400,,.109
47308,.999,,1,.12,.143,.685,.171,,201,,,.009,,欧洲,.08,保加利亚,.699,76,2003/12/1,32,.45,.016,69,,19399,,.085
23542,1,,1,.23,.164,.67,.166,,495,,,.009,,欧洲,.06,克罗地亚,.56,78,2003/12/1,29,.58,.006,71,,8812,,.116
7748,1,,1,.3,.209,.686,.105,,1235,,,.012,,欧洲,.07,塞浦路斯,.686,81,2003/12/1,,.55,.005,76,,2332,,.069
122379,1,,1,.34,.154,.707,.139,,666,,,.009,,欧洲,.07,捷克共和国,.737,79,2003/12/1,40,.95,.005,72,,44415,,.059
55735,1,,1,.76,.188,.663,.149,,3756,,,.012,,欧洲,.1,丹麦,.854,80,2003/12/1,7,.89,.004,75,,20087,,
17052,1,,1,.45,.161,.676,.163,,352,,,.01,,欧洲,.05,爱沙尼亚,.69,77,2003/12/1,72,.78,.007,66,,5188,,.055
777,,,1,.59,,,,,,,,,,欧洲,,法罗群岛,.387,82,2003/12/1,,.79,,77,,,,
68888,1,,1,.69,.177,.668,.155,,2572,,,.011,,欧洲,.08,芬兰,.826,82,2003/12/1,31,.91,.003,75,,36747,,.041
387591,1,,1,.36,.186,.651,.163,,3137,,,.013,,欧洲,.11,法国,.766,83,2003/12/1,41,.69,.004,76,,265879,,.066
833406,1,,1,.56,.148,.673,.179,,3206,,,.009,,欧洲,.11,德国,.732,81,2003/12/1,45,.77,.004,76,,338070,,
95738,1,,1,.18,.146,.674,.18,,1579,,,.01,,欧洲,.09,希腊,.737,81,2003/12/1,38,.81,.006,77,,29141,,.068
59072,1,,1,.22,.16,.685,.155,,706,,,.009,,欧洲,.09,匈牙利,.655,77,2003/12/1,52,.78,.008,68,,26136,,.096
2167,1,,1,.83,.225,.658,.117,,4020,,,.014,,欧洲,.11,冰岛,.928,83,2003/12/1,,.97,.003,80,,3273,,.12
43337,1,,1,.34,.208,.681,.111,,2918,,,.015,,欧洲,.07,爱尔兰,.599,81,2003/12/1,18,.87,.005,76,,14061,,.028
,,,1,,,,,,,,,,,欧洲,,马恩岛,.519,,2003/12/1,,,,,,,,
468349,1.001,,1,.29,.142,.667,.192,,2157,,,.009,,欧洲,.08,意大利,.675,83,2003/12/1,23,.98,.004,77,,179423,,.058
,,,1,,,,,,,,,.018,,欧洲,,科索沃,,71,2003/12/1,,,,66,,1994,,
7088,1,,1,.27,.158,.679,.163,,295,,,.009,,欧洲,.06,拉脱维亚,.678,77,2003/12/1,16,.53,.012,66,,4324,,.054
,,,1,.59,,,,,,,,.01,,欧洲,,列支敦士登,.149,82,2003/12/1,,.73,,78,,,,
12915,1,,1,.26,.18,.673,.147,,351,,,.009,,欧洲,.07,立陶宛,.667,78,2003/12/1,26,.62,.009,67,,9253,,.058
9905,1.001,,1,.55,.189,.668,.144,,4984,,,.012,,欧洲,.08,卢森堡,.857,81,2003/12/1,,1.21,.003,75,,3843,,
11309,1,,1,.19,.208,.684,.108,,212,,,.012,,欧洲,.09,马其顿（前南斯拉夫）,.579,76,2003/12/1,48,.37,.013,71,,2776,,.16
2582,.999,,1,.32,.185,.691,.123,,1074,,,.01,,欧洲,.08,马耳他,.932,81,2003/12/1,,.7,.006,76,,826,,.059
4290,.999,,1,.07,.208,.683,.108,,46,,,.012,,欧洲,.08,摩尔多瓦,.455,72,2003/12/1,42,.12,.021,64,,3360,,.193
,,,1,.5,,,,,4216,,,,,欧洲,.04,摩纳哥,1,,2003/12/1,,.46,.004,,,,,
,1,,1,,.205,.67,.125,,254,,,.013,,欧洲,.09,蒙特内格罗,.616,76,2003/12/1,,,.011,71,,,,
175041,1,,1,.64,.186,.676,.138,,3249,,,.012,,欧洲,.1,荷兰,.803,81,2003/12/1,9,.82,.005,76,,78010,,.03
42625,1,,1,.78,.199,.653,.148,,5220,,,.012,,欧洲,.11,挪威,.772,82,2003/12/1,18,.89,.004,77,,27020,,.047
304856,1,,1,.25,.174,.696,.13,,354,,,.009,,欧洲,.06,波兰,.617,79,2003/12/1,31,.46,.007,71,,91105,,.073
61276,1,,1,.3,.158,.674,.168,,1514,,,.011,,欧洲,.1,葡萄牙,.563,81,2003/12/1,78,.96,.004,74,,25129,,
95940,1,,1,.09,.166,.691,.143,,146,,,.01,,欧洲,.05,罗马尼亚,.529,75,2003/12/1,29,.32,.021,68,,39525,,.254
1604973,1.001,,1,.08,.162,.705,.134,,167,,,.01,,欧洲,.06,俄罗斯,.734,72,2003/12/1,43,.25,.017,59,,645323,,.13
,,,1,.5,,,,,2837,,,,,欧洲,.05,圣马力诺,.94,85,2003/12/1,,.59,.004,78,,,,.075
,1,,1,,.189,.674,.137,,171,,,.011,,欧洲,.09,塞尔维亚,.54,75,2003/12/1,56,,.009,70,,16635,,.155
